epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,1.1268815994262695,0.8021202683448792,1.0588196516036987,0.1570592224597931,0.31662753224372864,0.38894253969192505,9.999999747378752e-05
2,0.15504850447177887,0.30892422795295715,0.38634851574897766,0.1888972818851471,0.35358601808547974,0.4279177486896515,9.999999747378752e-05
3,0.101563461124897,0.2547111511230469,0.3094828128814697,0.1569652557373047,0.3173050284385681,0.3888205289840698,9.999999747378752e-05
4,0.09345906972885132,0.24715663492679596,0.2961001396179199,0.15174731612205505,0.31169888377189636,0.3820522129535675,9.999999747378752e-05
5,0.09047297388315201,0.23896028101444244,0.2910151183605194,0.13001418113708496,0.28673291206359863,0.35246485471725464,9.999999747378752e-05
6,0.08863286674022675,0.239348366856575,0.2878376841545105,0.12681467831134796,0.28311729431152344,0.3478977680206299,9.999999747378752e-05
7,0.08495301008224487,0.23144538700580597,0.2813744843006134,0.11895621567964554,0.27414271235466003,0.33641549944877625,9.999999747378752e-05
8,0.0833301693201065,0.227754145860672,0.27847766876220703,0.1115889772772789,0.2655540704727173,0.32528334856033325,9.999999747378752e-05
9,0.08183290809392929,0.228420689702034,0.27577832341194153,0.10576814413070679,0.25901633501052856,0.3162112534046173,9.999999747378752e-05
10,0.0840582400560379,0.23169854283332825,0.2797858417034149,0.10308211296796799,0.25573083758354187,0.3119368255138397,9.999999747378752e-05
11,0.08474317938089371,0.23006953299045563,0.2810090184211731,0.09764429181814194,0.24918045103549957,0.3030968904495239,9.999999747378752e-05
12,0.08255863934755325,0.22771553695201874,0.2770966589450836,0.08809849619865417,0.23785459995269775,0.2869197726249695,9.999999747378752e-05
13,0.07804903388023376,0.22024071216583252,0.26883813738822937,0.08851893991231918,0.23784996569156647,0.2876532971858978,9.999999747378752e-05
14,0.08501797169446945,0.23184791207313538,0.28150293231010437,0.08626174926757812,0.23511680960655212,0.2837045192718506,9.999999747378752e-05
15,0.0818372443318367,0.2216029167175293,0.2757973372936249,0.08320268988609314,0.23091621696949005,0.27826279401779175,9.999999747378752e-05
16,0.08047746866941452,0.22375883162021637,0.27332285046577454,0.08078336715698242,0.2276151031255722,0.2738829255104065,9.999999747378752e-05
17,0.07880964875221252,0.21962033212184906,0.2702564299106598,0.07467898726463318,0.22006595134735107,0.26250410079956055,9.999999747378752e-05
18,0.07885334640741348,0.21877612173557281,0.27033907175064087,0.07089105993509293,0.21508140861988068,0.25518903136253357,9.999999747378752e-05
19,0.0779523104429245,0.21642084419727325,0.2686692476272583,0.06833947449922562,0.21148788928985596,0.25014162063598633,9.999999747378752e-05
20,0.07272467762231827,0.20995159447193146,0.2587595283985138,0.06564643979072571,0.20782333612442017,0.2447013556957245,9.999999747378752e-05
21,0.0785871297121048,0.21698454022407532,0.2698516845703125,0.06477152556180954,0.2061479687690735,0.24290917813777924,9.999999747378752e-05
22,0.07914005219936371,0.21877261996269226,0.27087607979774475,0.06496501713991165,0.20568427443504333,0.24330922961235046,9.999999747378752e-05
23,0.07699792832136154,0.21473148465156555,0.2668946087360382,0.061623040586709976,0.20138801634311676,0.23634383082389832,9.999999747378752e-05
24,0.07641790062189102,0.2181040495634079,0.26580771803855896,0.06179050728678703,0.2010122537612915,0.2367001473903656,9.999999747378752e-05
25,0.07531856745481491,0.21300533413887024,0.2637336552143097,0.06032801792025566,0.19864071905612946,0.23359256982803345,9.999999747378752e-05
26,0.07703094929456711,0.21489070355892181,0.26696211099624634,0.05801770091056824,0.1951417773962021,0.22859570384025574,9.999999747378752e-05
27,0.07560074329376221,0.210946187376976,0.2642715275287628,0.0554664246737957,0.19096310436725616,0.22294746339321136,9.999999747378752e-05
28,0.07386110723018646,0.20914454758167267,0.26096099615097046,0.05613492801785469,0.19130468368530273,0.22444358468055725,9.999999747378752e-05
29,0.07133810967206955,0.20756641030311584,0.2560828924179077,0.05420119687914848,0.18883360922336578,0.22009532153606415,9.999999747378752e-05
30,0.06968342512845993,0.20535580813884735,0.25283288955688477,0.053489457815885544,0.18759630620479584,0.21847395598888397,9.999999747378752e-05
31,0.06704255193471909,0.19846902787685394,0.24755673110485077,0.052576854825019836,0.18556536734104156,0.21637709438800812,9.999999747378752e-05
32,0.06545775383710861,0.19762444496154785,0.24433648586273193,0.052611418068408966,0.18498443067073822,0.21645881235599518,9.999999747378752e-05
33,0.06431245058774948,0.1921016424894333,0.241983100771904,0.05290668085217476,0.1848510056734085,0.21714168787002563,9.999999747378752e-05
34,0.0651678740978241,0.1971416026353836,0.24374589323997498,0.053208786994218826,0.18497450649738312,0.2178381234407425,9.999999747378752e-05
35,0.06672731786966324,0.19984878599643707,0.24692578613758087,0.05455867201089859,0.18669235706329346,0.22091658413410187,9.999999747378752e-05
36,0.06571639329195023,0.19953688979148865,0.24487175047397614,0.05713985860347748,0.1905403584241867,0.22668486833572388,9.999999747378752e-05
37,0.06629735976457596,0.19807754456996918,0.2460566759109497,0.05808953195810318,0.19147135317325592,0.22877173125743866,9.999999747378752e-05
38,0.06562212854623795,0.19411416351795197,0.2446819394826889,0.06593303382396698,0.2033003866672516,0.24531684815883636,4.999999873689376e-05
39,0.063003771007061,0.19036968052387238,0.23927240073680878,0.0712597593665123,0.21061106026172638,0.25594428181648254,4.999999873689376e-05
40,0.05884760245680809,0.18206176161766052,0.23042461276054382,0.06485668569803238,0.2010784149169922,0.2431149035692215,4.999999873689376e-05
41,0.06324820220470428,0.19043579697608948,0.23978440463542938,0.079520083963871,0.2211044728755951,0.27160385251045227,4.999999873689376e-05
42,0.05926800146698952,0.18383154273033142,0.23133699595928192,0.06581462174654007,0.20192575454711914,0.24507898092269897,4.999999873689376e-05
43,0.06644243746995926,0.19613824784755707,0.24635688960552216,0.07572410255670547,0.21534205973148346,0.26452526450157166,4.999999873689376e-05
