epoch,train_rmse,val_rmse,val_rmse_movavg,n_state_resets,C1_mean,C2_mean,R0_mean,R1_mean,R2_mean,gamma1_mean,M0_mean,M_mean,time_s
1,1.176035861768114,1.4549707608889362,1.4549707608889362,112,37999.999938570305,37999.99863381578,-0.06637156768221814,0.024308876416767412,-0.016129174583890047,100.00085823450763,-0.08753231977131977,0.1375187741678783,59.046900510787964
2,0.9932220081031429,0.36612762044643204,0.9105491906676841,76,37999.99991183825,37999.99891989781,-0.12387389681687731,0.03897376105414717,0.02670505151692763,100.00080936765518,-0.16764178268963434,0.21782272074519515,59.53485941886902
3,0.3582033954647198,0.34743852855709584,0.7228456366308214,0,37999.999894212866,37999.99903403673,-0.1321695395574731,0.04349643642826311,0.049238449241484045,100.0019909349874,-0.21274526833900795,0.26454158900501323,59.59361553192139
4,0.33466401401803225,0.320806394620946,0.6223358261283525,0,37999.9998888933,37999.99907012227,-0.11936274013419017,0.04506287124966233,0.05705107292253571,100.00354559479605,-0.24477836800031852,0.29902673399833096,58.83613991737366
5,0.3094706020481927,0.29860831606255916,0.5575903241151938,0,37999.999895342364,37999.99907390737,-0.106485801728256,0.04578554780742471,0.06000588418216809,100.00496785712959,-0.2717475809736463,0.3285257566525904,59.43402433395386
6,0.29081567212619164,0.2835021080320305,0.5119089547679999,0,37999.999899618866,37999.99907990893,-0.10353910446798668,0.04626799625238582,0.06130927637743866,100.00586591740503,-0.29578303650159443,0.3552330529509075,59.376068353652954
7,0.2779871808082657,0.27342559068061,0.47783990275551563,0,37999.99990082196,37999.999090650505,-0.10894308274358709,0.04647827924473462,0.06178100073975728,100.00595604088096,-0.3163014327659177,0.37855594139816656,65.66675400733948
8,0.26951162742907114,0.26728508619548286,0.45152055068551156,0,37999.99990687402,37999.99908557878,-0.11829789120338428,0.04644377705700868,0.061867705876885434,100.00593053241982,-0.33513564670244633,0.400174363456883,61.109957695007324
9,0.26440283342974663,0.2639286523075857,0.3026402871128428,0,37999.999905813376,37999.99909826127,-0.12476346903929679,0.04626994342441758,0.06166396403599951,100.0060204445681,-0.3484598849667783,0.41662858869871255,219.8598473072052
10,0.2615526092126386,0.262112083505779,0.28963834499526114,0,37999.99990985772,37999.9990948014,-0.12762685330979295,0.046162608881992036,0.061546433410106245,100.00594028426933,-0.3596929850946421,0.43134549317870313,64.30355763435364
11,0.2601802875244603,0.26137408108503835,0.27888028906125395,0,37999.99991417974,37999.99909024038,-0.1289879788697787,0.045876652453072285,0.06124716928425005,100.00587848350042,-0.36807513657726043,0.4431549277577867,58.62595820426941
12,0.25964238597867073,0.26116219824357184,0.27142476451408215,0,37999.9999116424,37999.99910285843,-0.12938870021964813,0.04538297263861169,0.06067680534699728,100.00599574838996,-0.3727544378415576,0.4514985966508868,64.23014163970947
13,0.25945962384336424,0.26114635791227303,0.26674201974529643,0,37999.99991636667,37999.999092489,-0.1287747934237858,0.04499662843185007,0.06033077467743216,100.0061483040541,-0.3782558816723607,0.4607895688692031,58.71993923187256
14,0.25955824034039376,0.26140925397411113,0.2639804129880565,0,37999.999917132984,37999.99909327635,-0.1288028161103121,0.04445816536493768,0.0598005254838677,100.00602377576787,-0.3817591741747678,0.46842653984710475,58.98564100265503
15,0.25989458510503916,0.26185828539477424,0.262534499827327,0,37999.99991567899,37999.99910269124,-0.12722269645586354,0.04378138841475607,0.05907480464324051,100.0058753576427,-0.3835716999984978,0.47455082857953973,58.917317628860474
